,category,precision_@0.5IOU,recall_@0.5IOU,f1_score_@0.5IOU
0,head,0.9301825993555317,0.7937671860678277,0.8565776458951533
1,helmet,0.9668152550767707,0.8995391705069125,0.9319646693721652
