Wall time,Step,Value
1716710326.692952,1000,0.2614123225212097
1716710455.89091,3000,0.33773553371429443
1716710608.771914,4000,0.43198347091674805
1716710758.021478,6000,0.5062302947044373
1716710910.842709,8000,0.5945236086845398
1716711056.425513,9000,0.5597410202026367
1716711206.336923,11000,0.606990396976471
1716711357.354486,13000,0.5820047855377197
1716711505.783512,14000,0.6062697768211365
1716711656.157289,16000,0.6243854761123657
1716711807.118427,18000,0.6863813400268555
1716711956.854226,20000,0.6632867455482483
1716712110.582227,21000,0.6762691140174866
1716712308.680685,23000,0.6794271469116211
1716712440.135489,24000,0.683643639087677
1716712571.095997,25000,0.646194577217102
1716712721.63834,27000,0.6722086668014526
1716712869.212722,29000,0.6824791431427002
1716713020.27294,30000,0.6659173369407654
1716713171.753035,32000,0.7038777470588684
1716713315.853672,34000,0.7025421261787415
1716713467.361388,35000,0.6911841630935669
1716713623.82647,37000,0.7136842608451843
1716713772.908606,39000,0.7043770551681519
1716713922.160208,40000,0.7136009931564331
1716714071.020589,42000,0.7152385711669922
1716714223.069691,44000,0.692042350769043
1716714370.578508,45000,0.7111905813217163
1716714521.426271,47000,0.73836749792099
1716714667.477391,49000,0.7147618532180786
1716714818.411754,50000,0.7274035811424255
1716714972.788117,52000,0.6762813329696655
1716715121.722856,54000,0.7173893451690674
1716715269.136249,55000,0.7152770757675171
1716715422.241777,57000,0.7285689115524292
1716715574.268917,59000,0.7397232055664062
1716715723.277687,60000,0.7394978404045105
1716715871.797642,62000,0.7622752785682678
1716716032.674795,63000,0.7713672518730164
1716716173.445494,65000,0.7646247148513794
1716716325.023127,67000,0.7564190626144409
1716716469.329734,68000,0.7623230218887329
1716716619.286381,70000,0.765472412109375
1716716769.936152,72000,0.7622215747833252
1716716919.706192,73000,0.7761147022247314
1716717071.427403,75000,0.7700545787811279
1716717223.705952,77000,0.7729529142379761
1716717373.332252,78000,0.775536060333252
1716717525.535282,80000,0.7791205048561096
1716717673.279253,82000,0.7845519185066223
1716717821.612862,83000,0.7791820764541626
1716717970.831559,85000,0.786363422870636
1716718121.28465,87000,0.7849421501159668
1716718272.3467,89000,0.7832916378974915
1716718423.371387,90000,0.7803087830543518
1716718574.367104,92000,0.7807166576385498
1716718724.595927,93000,0.781568169593811
1716718876.734271,95000,0.7820719480514526
1716719024.537095,97000,0.7844692468643188
1716719175.628613,98000,0.7832884788513184
1716719288.109,100000,0.7836034893989563
